,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.016203880310058594,1.0,0.0,q0: start,"(5, 1, 1)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0034439563751220703,1.0,0.0,q0: start,"(5, 1, 1)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.37441492080688477,1.0,0.0,q0: start,"(5, 1, 9)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0035741329193115234,1.0,0.0,q0: start,"(5, 1, 9)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.01590895652770996,1.0,0.0,q0: start,"(5, 1, 2)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.0042400360107421875,1.0,0.0,q0: start,"(5, 1, 2)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.04319405555725098,1.0,0.0,q0: start,"(5, 1, 3)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.005627870559692383,1.0,0.0,q0: start,"(5, 1, 3)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,-1,0.2558908462524414,1.0,1.0,q0: start,"(4, 1, 8)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,-1,0.004879951477050781,1.0,1.0,q0: start,"(4, 1, 8)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.013422966003417969,1.0,0.0,q0: start,"(5, 1, 0)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004287004470825195,1.0,0.0,q0: start,"(5, 1, 0)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.27150988578796387,1.0,0.0,q0: start,"(5, 1, 10)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004809141159057617,1.0,0.0,q0: start,"(5, 1, 10)",positive,3600,2
0,out/models/model_epidemic4_model-it_0.pickle,227,898,QP,1,0.2284221649169922,1.0,0.0,q0: start,"(4, 1, 7)",positive,3600,2
1,out/models/model_epidemic4_model-it_0.pickle,227,898,LP,1,0.004911899566650391,1.0,0.0,q0: start,"(4, 1, 7)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.015983104705810547,1.0,0.0,q0: start,"(5, 1, 4)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004024028778076172,1.0,0.0,q0: start,"(5, 1, 4)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.01671886444091797,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.013074159622192383,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.017467975616455078,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004220008850097656,1.0,0.0,q0: start,"(5, 1, 5)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.45899486541748047,1.0,1.0,q0: start,"(5, 1, 9)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.00648808479309082,1.0,1.0,q0: start,"(5, 1, 9)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.44609904289245605,1.0,1.0,q0: start,"(5, 1, 10)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.0047681331634521484,1.0,1.0,q0: start,"(5, 1, 10)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.3228781223297119,1.0,0.0,q0: start,"(5, 1, 8)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.004088163375854492,1.0,0.0,q0: start,"(5, 1, 8)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.5241260528564453,1.0,1.0,q0: start,"(5, 1, 7)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.19072318077087402,1.0,1.0,q0: start,"(5, 1, 7)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.4341409206390381,1.0,1.0,q0: start,"(5, 1, 8)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.006173849105834961,1.0,1.0,q0: start,"(5, 1, 8)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.08630895614624023,1.0,0.0,q0: start,"(6, 1, 0)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.013165950775146484,1.0,0.0,q0: start,"(6, 1, 0)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,1,0.425321102142334,1.0,0.0,q0: start,"(5, 1, 7)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,1,0.02153611183166504,1.0,0.0,q0: start,"(5, 1, 7)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.0234220027923584,1.0,0.0,q0: start,"(5, 1, 1)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.027466773986816406,1.0,0.0,q0: start,"(5, 1, 1)",positive,3600,2
0,out/models/model_epidemic5_model-it_0.pickle,398,1816,QP,-1,0.5254991054534912,1.0,1.0,q0: start,"(5, 1, 6)",positive,3600,2
1,out/models/model_epidemic5_model-it_0.pickle,398,1816,LP,-1,0.033367156982421875,1.0,1.0,q0: start,"(5, 1, 6)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.016989946365356445,1.0,0.0,q0: start,"(6, 1, 1)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.00513005256652832,1.0,0.0,q0: start,"(6, 1, 1)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.014444112777709961,1.0,0.0,q0: start,"(6, 1, 6)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.03273606300354004,1.0,0.0,q0: start,"(6, 1, 6)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.016679048538208008,1.0,0.0,q0: start,"(6, 1, 3)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.010393857955932617,1.0,0.0,q0: start,"(6, 1, 3)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.028098106384277344,1.0,0.0,q0: start,"(6, 1, 5)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.010822057723999023,1.0,0.0,q0: start,"(6, 1, 5)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.02131795883178711,1.0,0.0,q0: start,"(6, 1, 2)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.019019126892089844,1.0,0.0,q0: start,"(6, 1, 2)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,1.8221938610076904,1.0,0.0,q0: start,"(6, 1, 12)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.0211789608001709,1.0,0.0,q0: start,"(6, 1, 12)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.017094135284423828,1.0,0.0,q0: start,"(6, 1, 0)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.03635907173156738,1.0,0.0,q0: start,"(6, 1, 0)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,1.8072268962860107,1.0,0.0,q0: start,"(6, 1, 7)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.0072438716888427734,1.0,0.0,q0: start,"(6, 1, 7)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.020884037017822266,1.0,0.0,q0: start,"(6, 1, 4)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.025999069213867188,1.0,0.0,q0: start,"(6, 1, 4)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,0.8328959941864014,1.0,0.0,q0: start,"(6, 1, 10)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.027279138565063477,1.0,0.0,q0: start,"(6, 1, 10)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,2.341057062149048,1.0,0.0,q0: start,"(6, 1, 8)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.0639190673828125,1.0,0.0,q0: start,"(6, 1, 8)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.017398834228515625,1.0,0.0,q0: start,"(6, 1, 3)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.06759905815124512,1.0,0.0,q0: start,"(6, 1, 3)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.19327497482299805,1.0,0.0,q0: start,"(6, 1, 2)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.06963896751403809,1.0,0.0,q0: start,"(6, 1, 2)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.022578001022338867,1.0,0.0,q0: start,"(6, 1, 4)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.03827404975891113,1.0,0.0,q0: start,"(6, 1, 4)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,1,1.1491870880126953,1.0,0.0,q0: start,"(6, 1, 9)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,1,0.008946895599365234,1.0,0.0,q0: start,"(6, 1, 9)",positive,3600,2
0,out/models/model_epidemic6_model-it_0.pickle,639,3364,QP,-1,0.9098250865936279,1.0,1.0,q0: start,"(6, 1, 10)",positive,3600,2
1,out/models/model_epidemic6_model-it_0.pickle,639,3364,LP,-1,0.011015176773071289,1.0,1.0,q0: start,"(6, 1, 10)",positive,3600,2
