,name,states,transitions,encoding,sense,time,reachability_value,importance_value,start_state,via_state,target_state,timeout,status
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.003805875778,0.0,0.0,q0: start,q3452: played_70_major_0_5_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.015907049179,0.0,0.0,q0: start,q1292: companyplayed_10_major_1_7_8,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.003196954727,0.0,0.0,q0: start,q1292: companyplayed_10_major_1_7_8,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.04053401947,0.0,0.0,q0: start,q3150: played_90_major_0_8_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000722169876,0.0,0.0,q0: start,q3150: played_90_major_0_8_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.008584022522,0.0,0.0,q0: start,q4048: companyplayed_90_major_6_1_2,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000834941864,0.0,0.0,q0: start,q4048: companyplayed_90_major_6_1_2,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.017846107483,0.0,0.0,q0: start,q5220: played_90_major_7_6_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.00315618515,0.0,0.0,q0: start,q5220: played_90_major_7_6_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0242071151733,0.0,0.0,q0: start,q5676: played_10_major_9_8_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.002767086029,0.0,0.0,q0: start,q5676: played_10_major_9_8_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.014975786209,0.0,0.0,q0: start,q1272: companyplayed_10_minor_4_6_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0292518138885,0.6567915214632193,0.004248446225385408,q0: start,q1272: companyplayed_10_minor_4_6_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.08811211586,0.0,0.0,q0: start,q5605: companyplayed_10_minor_6_3_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0033869743347,0.0,0.0,q0: start,q5605: companyplayed_10_minor_6_3_5,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.005975008011,0.0,0.0,q0: start,q3856: companyplayed_10_major_1_9_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.001883983612,0.0,0.0,q0: start,q3856: companyplayed_10_major_1_9_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0083618164062,0.0,0.0,q0: start,q387: played_80_major_1_6_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0040471553802,0.0,0.0,q0: start,q387: played_80_major_1_6_5,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0263800621033,0.0,0.0,q0: start,q2463: companyplayed_10_major_3_3_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.004060983658,0.0,0.0,q0: start,q2463: companyplayed_10_major_3_3_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.055995941162,0.0,0.0,q0: start,q1298: companyplayed_10_major_5_4_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.044986009598,0.6567915214632178,0.007522901377451394,q0: start,q1298: companyplayed_10_major_5_4_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.051836013794,0.0,0.0,q0: start,q4640: companyplayed_10_major_1_4_1,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.000921010971,0.0,0.0,q0: start,q4640: companyplayed_10_major_1_4_1,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0438270568848,0.0,0.0,q0: start,q5251: companyplayed_70_major_8_4_3,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0021159648895,0.0,0.0,q0: start,q5251: companyplayed_70_major_8_4_3,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.022819042206,0.0,0.0,q0: start,q5668: played_90_major_7_5_0,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0007729530334,0.0,0.0,q0: start,q5668: played_90_major_7_5_0,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.01793718338,0.0,0.0,q0: start,q1709: played_70_major_2_3_3,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0006890296936,0.0,0.0,q0: start,q1709: played_70_major_2_3_3,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0160830020905,0.0,0.0,q0: start,q3625: played_60_minor_0_2_5,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0043318271637,0.0,0.0,q0: start,q3625: played_60_minor_0_2_5,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.025854110718,0.0,0.0,q0: start,q5777: played_50_major_5_7_7,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.002168893814,0.0,0.0,q0: start,q5777: played_50_major_5_7_7,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.040107011795,0.0,0.0,q0: start,q4816: companyplayed_10_major_5_8_2,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.0009050369263,0.0,0.0,q0: start,q4816: companyplayed_10_major_5_8_2,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.060129880905,0.0,0.0,q0: start,q2625: played_70_major_0_3_9,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.2120921611786,0.0,0.0,q0: start,q2625: played_70_major_0_3_9,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0139780044556,0.0,0.0,q0: start,q204: companystartprofile_1_4_8,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.025738954544,0.6567915214632198,0.0009871848335147127,q0: start,q204: companystartprofile_1_4_8,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.055890083313,0.6567915214632191,0.019005256151912356,q0: start,q260: companystartprofile_3_6_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.002077102661,0.0,0.0,q0: start,q260: companystartprofile_3_6_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.201157808304,0.6567915214632191,0.005033246749446383,q0: start,q244: companystartprofile_2_7_8,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.001249074936,0.0,0.0,q0: start,q244: companystartprofile_2_7_8,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0135090351105,0.0,0.0,q0: start,q217: companystartprofile_1_7_6,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.3602061271667,0.6567915214632191,0.05504432105605866,q0: start,q217: companystartprofile_1_7_6,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,1,3600.0080568790436,0.0,0.0,q0: start,q53: startprofile_1_8_4,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,1,3600.00075507164,0.0,0.0,q0: start,q53: startprofile_1_8_4,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,-1,3600.020031929016,0.0,0.0,q0: start,q3042: played_10_major_9_6_2,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,-1,3600.0017437934875,0.0,0.0,q0: start,q3042: played_10_major_9_6_2,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,-1,3600.0308079719543,0.0,0.0,q0: start,q879: played_10_major_7_3_2,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,-1,3600.0243151187897,0.656791521463217,0.003016046941878163,q0: start,q879: played_10_major_7_3_2,q5823: positive,3600,9
0,out/models/model_spotify1000_model-it_0.pickle,5840,11628,QP,-1,3600.019191980362,0.0,0.0,q0: start,q948: companyplayed_10_major_0_7_9,q5823: positive,3600,9
1,out/models/model_spotify1000_model-it_0.pickle,5840,11628,LP,-1,3600.028727054596,0.6567915214632171,0.02065596111268485,q0: start,q948: companyplayed_10_major_0_7_9,q5823: positive,3600,9
