,model,query,nesting,value,model_checking_time,model_construction_time,name,timeout
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=12 & (X( loc=58 ))))))))]",3,0.019370332791912758,15.732,13.426,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_0_8_8', 'companystartprofile_0_8_8', 'select_context_user_collection', 'companyselect_context_user_collection']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1116)]",0,0.0069748932982771905,16.542,12.708,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=447)]",0,0.5733401245711891,16.597,12.66,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1385)]",0,0.5623737747677712,16.075,13.69,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=10 )))))]",2,0.006453200203971657,15.574,14.151,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=25 & ((X( loc=71 & ((X( loc=96 & (X( loc=100 ))))))))))))))]",5,0.006458566293970552,16.101,12.93,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_0_4_8', 'companystartprofile_0_4_8', 'select_context_editorial_playlist', 'customerselect_context_editorial_playlist', 'song_90_major_0_2_9']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_0_5_7', 'companystartprofile_0_5_7', 'select_context_personalized_playlist', 'customerselect_context_personalized_playlist', 'song_10_major_0_4_5']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=10 & (X( loc=56 ))))))))]",3,0.006453200203971657,15.608,13.879,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=38 & ((X( loc=84 & ((X( loc=97 & ((X( loc=101 & (X( loc=1369 )))))))))))))))))]",6,0.006521553373855504,16.791,12.422,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_1_8_6', 'companystartprofile_1_8_6', 'select_context_catalog', 'companyselect_context_catalog', 'played_90_minor_0_8_6', 'companyplayed_90_minor_0_8_6']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & (X( loc=17 )))))]",2,0.03241343953962377,15.842,13.895,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_2_5_7', 'companystartprofile_2_5_7', 'select_context_catalog', 'companyselect_context_catalog', 'played_10_major_9_4_4', 'companyplayed_10_major_9_4_4']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_1_7_7', 'companystartprofile_1_7_7', 'select_context_editorial_playlist', 'customerselect_context_editorial_playlist', 'song_10_minor_2_6_8', 'companysong_10_minor_2_6_8']",0,-1,0.0,0.0,actual_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=178)]",0,0.5038523568565917,16.525,13.379,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=25 & (X( loc=71 ))))))))]",3,0.025954873245653216,15.944,13.509,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1516)]",0,0.006842881181358703,16.572,12.918,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=191)]",0,0.03313658874166751,16.635,13.247,avoid_state,600
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & ((X( loc=1 & ((X( loc=7 & ((X( loc=53 & ((X( loc=94 & ((X( loc=98 & (X( loc=113 )))))))))))))))))]",6,1.0993071190853585E-4,17.079,12.657,random_path,600
0,out/models/model_spotify100_model-it_0.prism,"['start', 'companystart', 'startprofile_0_5_8', 'companystartprofile_0_5_8', 'select_context_user_collection', 'companyselect_context_user_collection', 'played_0_major_1_7_8', 'companyplayed_0_major_1_7_8', 'not_skipped', 'companynot_skipped']",0,-1,0.0,0.0,actual_path,600
