,model,query,nesting,value,model_parsing_time,model_checking_time,model_construction_time,name,timeout,solver
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=110] ,0,0.0211799891,0.179,0.004,0.334,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1165] ,0,0.8791446589,0.184,0.002,0.35,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=459] ,0,0.06090662727,0.181,0.004,0.353,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=690] ,0,0.8791446589,0.182,0.002,0.355,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=157] ,0,0.8791446589,0.192,0.001,0.347,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=27] ,0,0.01,0.093,0.0,0.21,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=587] ,0,0.01046200202,0.103,0.003,0.212,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1538] ,0,0.7725919432,0.101,0.001,0.21,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=328] ,0,0.06963304177,0.097,0.003,0.214,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=65] ,0,0.02,0.1,0.0,0.22,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=811] ,0,0.7725919432,0.101,0.001,0.208,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=22] ,0,0.02,0.103,0.0,0.216,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1315] ,0,0.8791446589,0.101,0.001,0.223,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1134] ,0,0.8791446589,0.1,0.001,0.214,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=319] ,0,0.05118291171,0.103,0.004,0.223,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=122] ,0,0.0211842938,0.103,0.003,0.225,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=355] ,0,0.04109994379,0.102,0.003,0.234,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1392] ,0,0.0104635125,0.1,0.003,0.222,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1171] ,0,0.7725919432,0.102,0.001,0.216,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1237] ,0,0.8791446589,0.101,0.001,0.241,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=528] ,0,0.7725919432,0.105,0.001,0.225,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1030] ,0,0.01046200202,0.103,0.004,0.245,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1423] ,0,0.0104635125,0.173,0.003,0.208,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=227] ,0,0.0211799891,0.1,0.005,0.298,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=867] ,0,0.01069719525,0.101,0.003,0.27,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1452] ,0,0.0104635125,0.1,0.003,0.209,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=321] ,0,0.03146111982,0.102,0.003,0.213,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=626] ,0,0.04152768211,0.153,0.003,0.231,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1027] ,0,0.03101449407,0.139,0.003,0.243,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=930] ,0,0.931453248,0.101,0.001,0.341,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=256] ,0,0.931453248,0.096,0.001,0.214,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=820] ,0,0.7725919432,0.103,0.001,0.2,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=448] ,0,0.0211842938,0.096,0.003,0.205,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1456] ,0,0.7725919432,0.172,0.002,0.255,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=376] ,0,0.01069500001,0.095,0.003,0.214,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1521] ,0,0.0104635125,0.104,0.003,0.228,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=465] ,0,0.01069500001,0.133,0.003,0.23,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1239] ,0,0.8791446589,0.104,0.001,0.213,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=188] ,0,0.07839385435,0.161,0.003,0.212,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=977] ,0,0.0104635125,0.096,0.003,0.218,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=641] ,0,0.8791446589,0.094,0.001,0.216,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1068] ,0,0.01069500001,0.102,0.005,0.288,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1145] ,0,0.931453248,0.144,0.001,0.212,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=158] ,0,0.01069719525,0.104,0.003,0.249,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1527] ,0,0.8791446589,0.11,0.002,0.257,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1314] ,0,0.01069719525,0.097,0.005,0.229,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=959] ,0,0.01069719525,0.156,0.003,0.216,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1267] ,0,0.01069719525,0.163,0.003,0.25,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=556] ,0,0.8791446589,0.164,0.002,0.317,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=433] ,0,0.03146745195,0.171,0.003,0.256,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=779] ,0,0.01069500001,0.099,0.004,0.262,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=803] ,0,0.01046200202,0.172,0.004,0.258,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=829] ,0,0.0104635125,0.1,0.003,0.267,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1418] ,0,0.0104635125,0.096,0.003,0.335,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=222)]",0,0.5623927595,0.102,0.021,0.214,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=57)]",0,0.02602421873,0.098,0.021,0.204,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=159)]",0,0.6016648388,0.099,0.022,0.206,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1235)]",0,0,0.106,0.017,0.203,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=687)]",0,0.02022048217,0.101,0.024,0.209,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=213)]",0,0.01353373936,0.102,0.027,0.223,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=111)]",0,0.06325258429,0.111,0.03,0.234,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism, Pmax=? [F loc=1336] ,0,0.931453248,0.173,0.001,0.335,reach_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=333)]",0,0.006823101965,0.1,0.025,0.216,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=1109)]",0,0.494230512,0.099,0.023,0.213,avoid_state,3600,storm
0,out/models/model_spotify100_model-it_0.prism,"Pmax=? [(F ""positive"") & (!(""positive"") U loc=133)]",0,0.5623927595,0.098,0.023,0.203,avoid_state,3600,storm
